utterance_type,speaker,object_present,basic_level,CDIform,subj,month,in_cdi
d,MOT,y,little+blue+truck,NA,794,6,
r,MOT,y,blue,NA,794,6,
q,MOT,n,back,NA,294,6,
q,MOT,n,dynamite,NA,255,6,
d,MOT,y,go+dog+go,NA,357,6,
r,MOT,y,i,NA,309,6,
r,MOT,y,quacker+oo,NA,749,6,
d,MOT,y,what+does+baby+say,NA,378,6,
d,MOT,y,where+is+babys+mommy,NA,378,6,
d,MOT,y,daddy+and+me,NA,378,6,
d,MOT,y,grandma+and+me,NA,378,6,
d,MOT,y,grandpa+and+me,NA,378,6,
r,MOT,n,verna+vera+vin,NA,268,6,
q,MOT,y,baby+signs,NA,189,6,
d,MOT,n,night+night+peter+rabbit,NA,189,6,
d,MOT,n,lion+tiger,tiger,375,6,
d,MOT,y,baby+animals,NA,738,6,
d,MOT,y,teddies,teddybear,738,6,
d,MOT,y,apple+farmer+annie,NA,639,6,
d,MOT,y,what+is+your+dog+doing,NA,639,6,
d,SIBLING,y,yummy,NA,737,6,
d,MOT,y,sophie+girl,NA,518,6,
q,MOT,y,drill+bit,NA,794,7,
d,MOT,y,noisy+train,train,126,7,
q,MOT,y,baby+shawn,baby,309,7,
q,MOT,y,the very+hungry+caterpillar,NA,309,7,
d,FAT,y,hand+hold,hand,309,7,
q,MOT,y,spice,NA,309,7,
r,FAT,n,empanadas,NA,309,7,
d,MOT,n,brim,NA,279,7,
d,MOT,n,bananers,banana,664,7,
q,MOT,y,rack,NA,664,7,
n,MOT,y,buck,NA,664,7,
d,MOT,y,peter+rabbit+snuggles,NA,664,7,
n,MOT,y,stationery,NA,926,7,
d,MOT,n,steaks,NA,926,7,
q,MOT,n,the+very+best+daddy+of+all,NA,738,7,
d,MOT,y,willies+pictures,picture,639,7,
i,MOT,y,hock,NA,639,7,
q,MOT,y,sneaky,NA,168,7,
q,MOT,n,mustard,NA,168,7,
d,SIBLING,n,wendy+washer,NA,168,7,
i,MOT,y,limb,NA,151,7,
q,MOT,n,drum+kit,NA,950,7,
r,MOT,n,tock,NA,794,8,
d,MOT,y,hidden+pictures,picture,794,8,
d,MOT,y,choo+choo,NA,794,8,
d,SIBLING,n,sunflower,NA,294,8,
d,MOT,n,pete+the+cat,cat,294,8,
i,MOT,n,asteroid,NA,294,8,
d,MOT,n,meteor,NA,294,8,
d,MOT,y,peek+a+boo+forest,NA,294,8,
d,MOT,n,c+d,NA,465,8,
d,MOT,n,earwax,NA,465,8,
q,FAT,y,squish,NA,521,8,
d,SIBLING,n,beatbo+robot,NA,828,8,
d,FAT,n,cough+drops,NA,309,8,
d,FAT,n,bagpipes,NA,309,8,
n,FAT,y,chicken+squash,chicken,309,8,
q,SIBLING,n,roll+up,NA,623,8,
d,MOT,n,whip,NA,279,8,
n,MOT,y,mcdonald,NA,664,8,
r,MOT,y,the+rainforest+tails,NA,664,8,
d,MOT,y,five+little+monkeys,NA,664,8,
d,FAT,n,varnish,NA,109,8,
q,MOT,n,wipey,NA,172,8,
d,MOT,n,suspenders,NA,189,8,
d,MOT,y,hairdresser,NA,926,8,
d,MOT,y,rock+star,NA,926,8,
d,MOT,y,karate+instructor,NA,926,8,
q,FAT,y,buddy+holly,NA,515,8,
q,MOT,n,elmo+makes+music+book,NA,738,8,
r,MOT,y,pets,NA,738,8,
q,MOT,y,spots+toys,NA,738,8,
d,MOT,y,whos+in+the+jungle,NA,168,8,
d,MOT,y,cookie+monsters+good+time+to+eat,NA,737,8,
d,MOT,n,bubble+machine,NA,950,8,
d,MOT,y,i+am+a+puppy,NA,950,8,
s,MOT,n,walls,NA,294,9,
n,MOT,n,axe,NA,126,9,
i,MOT,n,video,NA,255,9,
d,MOT,y,rice+rusks,NA,357,9,
d,MOT,n,husk,NA,357,9,
d,MOT,y,steam,NA,309,9,
d,MOT,n,squeezy,NA,623,9,
r,MOT,y,one+two+three+count+with+me,NA,279,9,
r,MOT,n,larvae,NA,279,9,
r,MOT,n,beeswax,NA,279,9,
q,MOT,y,pictures,picture,129,9,
q,MOT,y,c+d+player,NA,129,9,
d,MOT,n,human,NA,129,9,
d,MOT,y,spread,NA,129,9,
r,MOT,y,da+da,NA,268,9,
d,MOT,y,game,NA,172,9,
q,MOT,y,chubo,NA,189,9,
n,MOT,n,swim+trunks,NA,986,9,
d,MOT,y,this+little+piggy,NA,986,9,
q,MOT,n,toolset,NA,986,9,
q,MOT,n,bagels,NA,861,9,
n,MOT,n,cheese+steak,cheese,926,9,
d,FAT,n,visor,NA,944,9,
d,FAT,y,shapes,NA,515,9,
d,FAT,y,toys,toy,515,9,
d,FAT,y,bowtie,NA,515,9,
n,MOT,n,barney+bear,bear,375,9,
d,MOT,n,canned+air,NA,375,9,
d,MOT,y,wristbands,NA,375,9,
d,MOT,n,water+park,park,375,9,
r,MOT,y,on+the+road,NA,738,9,
r,MOT,y,lights,light,738,9,
r,MOT,y,saratoga+springs,NA,738,9,
d,MOT,y,chubby+roll,NA,737,9,
q,MOT,y,tape+measure,NA,737,9,
d,MOT,n,appendix,NA,518,9,
q,MOT,y,drink,NA,950,9,
d,MOT,n,planet+mars,NA,563,9,
d,FAT,n,metal,NA,294,10,
d,MOT,y,thats+not+my+puppy,NA,294,10,
d,MOT,n,electronic,NA,255,10,
d,MOT,n,d+v+d+holder,NA,255,10,
d,MOT,n,plantronics,NA,255,10,
q,MOT,y,rain+stick,NA,357,10,
d,SIBLING,n,vulture,NA,828,10,
q,MOT,n,bolt,NA,828,10,
d,MOT,n,germ,NA,828,10,
n,FAT,n,tabbouleh,NA,309,10,
r,MOT,y,skates,NA,749,10,
r,MOT,y,room,NA,749,10,
r,MOT,y,lightning,NA,749,10,
d,SIBLING,n,neighborhood+animals,NA,279,10,
r,FAT,y,ice+cream+man,icecream,664,10,
d,MOT,y,eyestalk,NA,129,10,
q,MOT,n,tissue+box,box,129,10,
d,MOT,y,cloths,NA,129,10,
d,MOT,y,olli,NA,129,10,
n,SIBLING,n,thomas+the+engine,NA,860,10,
d,MOT,n,playset,NA,860,10,
q,MOT,n,plastic,NA,342,10,
d,FAT,n,mickey+mouse,mouse,172,10,
s,FAT,n,mickey+mouse+clubhouse,house,172,10,
d,MOT,y,thats+not+my+monkey,NA,625,10,
r,FAT,y,down,NA,625,10,
d,MOT,y,mr+glowy+face,NA,926,10,
d,MOT,n,bubbles,bubbles,944,10,
d,MOT,n,pieces,NA,944,10,
d,FAT,n,mest,NA,515,10,
d,MOT,y,ford+harvester,NA,738,10,
q,MOT,y,baby+faces,face,738,10,
r,MOT,y,skateboarder,NA,738,10,
d,MOT,y,stories,NA,738,10,
r,MOT,n,berry+banana+beet,NA,168,10,
d,MOT,n,dracula,NA,518,10,
q,MOT,n,cruella+de+vil,NA,518,10,
q,MOT,n,poops,NA,893,10,
d,MOT,y,roar+roar+baby,NA,424,10,
d,MOT,y,splish+splash+baby,baby,424,10,
i,MOT,n,trex,NA,288,10,
q,MOT,y,see+saw,NA,794,11,
i,MOT,n,air+conditioner,NA,794,11,
s,MOT,n,town,NA,794,11,
d,MOT,y,pedal,NA,126,11,
q,MOT,y,roll,NA,309,11,
d,FAT,n,hash+brown,NA,309,11,
d,MOT,n,windbreaker,NA,749,11,
q,SIBLING,n,p+b+and+j,NA,279,11,
d,MOT,y,go+train+go,train,664,11,
q,MOT,n,gerbil,NA,664,11,
d,FAT,y,grandma,NA,129,11,
r,FAT,n,land,NA,129,11,
d,MOT,n,daddy+long+leg,NA,860,11,
d,MOT,n,eggplant+parmesan,NA,189,11,
d,MOT,n,copier,NA,926,11,
q,MOT,n,fish+bowl,fish,944,11,
q,MOT,n,costume,NA,738,11,
q,MOT,y,sneakers,NA,738,11,
d,MOT,n,leaves,NA,738,11,
q,MOT,y,jack+o+lanterns,NA,738,11,
q,MOT,y,t+shirt,shirt,738,11,
d,MOT,n,leather,NA,738,11,
r,MOT,y,store,NA,738,11,
d,MOT,n,stuffed+peppers,NA,737,11,
r,MOT,n,cutter,NA,737,11,
r,MOT,n,mixer,NA,737,11,
d,MOT,n,clip+board,NA,518,11,
q,SIBLING,n,zingo,NA,518,11,
d,MOT,n,game+board,NA,518,11,
d,MOT,n,edward,NA,950,11,
n,MOT,y,gadget,NA,563,11,
d,MOT,y,chew+toy,toy,288,11,
d,SIBLING,n,b+b+eight,NA,288,11,
d,MOT,n,knight,NA,288,11,
d,MOT,y,qui+gon+jinn,NA,288,11,
r,MOT,y,mustache+baby,baby,357,12,
r,MOT,y,baby+billy,baby,357,12,
d,MOT,n,lawnmower,NA,626,12,
d,MOT,y,night+night+elmo,NA,109,12,
q,MOT,n,gas+can,NA,342,12,
q,MOT,y,headwear,NA,342,12,
d,MOT,n,flower+bulbs,flower,342,12,
d,MOT,y,rain+rain+go+away,rain,268,12,
q,MOT,y,d+v+d,NA,189,12,
q,SIBLING,n,cheez+its,NA,986,12,
d,MOT,y,not+my+monkey,NA,625,12,
q,MOT,y,are+you+a+cow,NA,738,12,
n,FAT,y,sophies+busy+day,NA,639,12,
q,FAT,n,quack+quack,NA,639,12,
n,FAT,y,paris,NA,639,12,
r,MOT,n,caramel,NA,288,12,
r,MOT,n,coconut,NA,288,12,
r,MOT,n,crabmeat,NA,288,12,
q,FAT,y,the+fire+engine,firetruck,294,13,
q,FAT,y,the+first+one+hundred+words,NA,294,13,
n,MOT,y,pinkie,NA,255,13,
n,FAT,n,hi+hat,hat,357,13,
d,MOT,y,cinnamon+sweet+potato,NA,357,13,
n,MOT,y,zoes+first+book+of+seasons,NA,279,13,
d,MOT,n,cheese+balls,cheese,664,13,
d,MOT,y,base,NA,129,13,
q,MOT,n,craisin,NA,860,13,
n,MOT,n,lobster,NA,860,13,
d,MOT,n,eyeshadow,NA,860,13,
q,MOT,y,lunch+box,box,378,13,
d,MOT,n,penne,NA,189,13,
n,MOT,y,vise,NA,986,13,
i,MOT,y,fanny,NA,986,13,
d,MOT,n,rapini,NA,861,13,
d,MOT,n,seltzer,NA,861,13,
q,MOT,n,monterey+jack,NA,861,13,
n,MOT,n,swiss,NA,861,13,
n,MOT,y,three+blind+mice+and+the+christmas+surprise,NA,926,13,
q,MOT,n,pepper+mill,NA,926,13,
d,MOT,n,pediasure,NA,944,13,
n,FAT,y,millennium+pigeon,NA,515,13,
d,SIBLING,n,slime,NA,515,13,
d,FAT,n,theater,NA,375,13,
d,FAT,n,trap,NA,375,13,
d,MOT,n,little+blue+train,NA,738,13,
q,MOT,y,carrier,NA,737,13,
d,MOT,n,ten+little+gingerbread+men,NA,518,13,
r,MOT,y,styracosaurus,NA,151,13,
r,MOT,y,tyrannosaurus,NA,151,13,
r,MOT,n,brachiosaurus,NA,151,13,
d,MOT,n,headrest,NA,151,13,
r,MOT,n,daddy,NA,893,13,
d,MOT,y,baby+peekaboo,NA,424,13,
q,MOT,n,oscar+oscar,NA,424,13,
d,MOT,n,toilet+paper+roll,NA,126,14,
d,SIBLING,y,squeezable,NA,255,14,
d,SIBLING,n,undershirt,shirt,255,14,
q,MOT,n,lace,NA,255,14,
n,MOT,n,seaside,NA,465,14,
d,FAT,n,vacuum+cleaner,vacuum,309,14,
d,MOT,n,highchar,highchair,309,14,
q,FAT,y,brace,NA,129,14,
d,MOT,n,reciner,NA,378,14,
d,MOT,n,collards,NA,378,14,
d,MOT,n,food+processor,NA,378,14,
d,MOT,n,olive+oil,NA,378,14,
d,MOT,n,starbucks,NA,378,14,
d,MOT,n,compost,NA,378,14,
d,MOT,n,rhubarb,NA,378,14,
q,MOT,n,poop,NA,378,14,
d,MOT,n,salt+shaker,NA,342,14,
d,MOT,y,dancing+douglas,NA,189,14,
r,MOT,y,sleepy,NA,986,14,
r,MOT,y,happy,NA,986,14,
r,MOT,n,gothel,NA,986,14,
n,MOT,y,peekaboo+farm,NA,625,14,
q,MOT,n,walkway,NA,375,14,
d,MOT,n,stoop,NA,375,14,
d,FAT,n,salads,NA,375,14,
d,MOT,n,hockey+player,NA,375,14,
n,FAT,n,goalie,NA,375,14,
q,MOT,y,person,NA,375,14,
q,MOT,n,sitar,NA,375,14,
d,MOT,n,restaurant,NA,375,14,
d,SIBLING,n,legs,leg,375,14,
q,MOT,n,peek+a+boo+jungle,NA,738,14,
q,SIBLING,n,movie+theater,NA,518,14,
q,MOT,n,super+baby,baby,893,14,
r,MOT,n,grains,NA,351,14,
d,MOT,y,im+a+baby,baby,950,14,
d,MOT,n,lips,NA,563,14,
d,MOT,n,lemon+drop,NA,563,14,
d,MOT,n,listerine,NA,563,14,
n,MOT,n,cheerleader,NA,563,14,
n,MOT,y,sophie+peekaboo,NA,794,15,
q,MOT,n,mr+bump,NA,828,15,
d,MOT,n,paprika,NA,309,15,
d,FAT,n,kimchi,NA,309,15,
d,FAT,n,chicken+broth,chicken,309,15,
d,FAT,n,herbs,NA,309,15,
n,MOT,y,baby+play+time,baby,309,15,
d,FAT,n,anchorman,NA,309,15,
q,MOT,n,peek+a+boo+dinosaur,NA,309,15,
d,MOT,y,raccoon+who+liked+to+munch,NA,749,15,
d,SIBLING,n,chopsticks,NA,623,15,
n,MOT,n,cannula,NA,626,15,
d,MOT,n,cannister,NA,626,15,
d,MOT,n,hashbrowns,NA,626,15,
d,MOT,n,buttermilk,NA,626,15,
d,MOT,n,baking+powder,NA,626,15,
d,MOT,n,baking+soda,NA,626,15,
d,MOT,n,cinnamon,NA,626,15,
d,MOT,y,peek+a+boo+who,NA,378,15,
r,MOT,y,chicks,chicken,189,15,
d,MOT,y,eight+silly+monkeys,monkey,986,15,
r,MOT,y,big,NA,861,15,
r,MOT,y,the+very+best+daddy,NA,738,15,
q,MOT,y,yummy+yucky,NA,738,15,
q,MOT,y,vroom+vroom,NA,738,15,
d,MOT,y,one+naked+baby,baby,639,15,
d,MOT,y,babys+busy+day,baby,288,15,
r,MOT,y,brother,NA,288,15,
r,MOT,y,sister,NA,288,15,
n,MOT,n,paw+patrol,NA,288,15,
q,FAT,y,baby+beluga,NA,521,16,
n,FAT,y,t+b+m+nine+hundred,NA,309,16,
q,MOT,y,baby+donald,NA,986,16,
n,MOT,n,pizzas,pizza,375,16,
d,MOT,n,tostitos,NA,375,16,
d,MOT,y,gravel,NA,639,16,
d,MOT,n,candy+land,candy,151,16,
r,MOT,y,granny,NA,424,16,
d,MOT,y,babys+first+words,NA,950,16,
r,MOT,n,equipment,NA,288,16,
q,FAT,y,soft+serve,NA,220,16,
q,MOT,n,bike+pump,bike,220,16,
d,MOT,y,sophie+pop+up+peek+a+boo,NA,794,17,
d,MOT,n,elmo+so+big,NA,465,17,
n,FAT,y,cat+in+the+hat,cat,274,17,
d,FAT,y,wegmans+pez+dispenser,NA,309,17,
d,SIBLING,n,sharpener,NA,623,17,
d,MOT,y,daniel+tiger+trolley,NA,664,17,
d,MOT,n,mickey+the+fireman,NA,664,17,
d,MOT,n,phonograph,NA,664,17,
d,MOT,y,woof+woof,NA,664,17,
d,MOT,y,luna+doll,NA,129,17,
d,MOT,y,slot,NA,129,17,
d,MOT,n,body,NA,129,17,
n,SIBLING,n,hulk,NA,129,17,
q,MOT,y,baby+bug,NA,378,17,
n,MOT,y,kim+and+carrots,NA,378,17,
r,MOT,y,ranger+dockett,NA,378,17,
q,MOT,y,baby+listens,NA,378,17,
q,MOT,n,ding+dong,NA,378,17,
d,FAT,n,permission+slip,NA,172,17,
d,MOT,n,barnyard+fun+book,NA,625,17,
n,MOT,y,my+new+baby,NA,926,17,
r,MOT,y,do+cows+meow,NA,944,17,
d,FAT,n,cheeseburger,NA,375,17,
q,MOT,y,peekaboo+fun,NA,738,17,
d,MOT,n,bones,NA,639,17,
d,MOT,y,beer,NA,168,17,
n,MOT,n,smore,NA,168,17,
q,MOT,y,goo+gone,NA,168,17,
d,MOT,n,yard,NA,518,17,
q,MOT,y,splish+splash+book,book,424,17,
n,MOT,n,rafael,NA,563,17,
d,SIBLING,n,pokemon,NA,563,17,
